ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1
458989,0,1,36,1,Engineer,0.0,0,1.0,6
458994,1,1,37,1,Healthcare,8.0,1,4.0,6
458996,0,1,69,0,,0.0,0,1.0,6
459000,1,1,59,0,Executive,11.0,2,2.0,6
459001,0,0,19,0,Marketing,,0,4.0,6
459003,1,1,47,1,Doctor,0.0,2,5.0,4
459005,1,1,61,1,Doctor,5.0,0,3.0,6
459008,0,1,47,1,Artist,1.0,1,3.0,6
459013,1,1,50,1,Artist,2.0,1,4.0,6
459014,1,0,19,0,Healthcare,0.0,0,4.0,6
459015,1,0,22,0,Healthcare,0.0,0,3.0,6
459016,0,0,22,0,Healthcare,0.0,0,6.0,6
459024,1,1,50,1,Artist,1.0,1,5.0,6
459026,1,0,27,0,Healthcare,8.0,0,3.0,3
459032,1,0,18,0,Doctor,0.0,0,3.0,6
459033,0,1,61,1,Artist,0.0,0,1.0,6
459036,0,1,20,1,Lawyer,1.0,1,3.0,3
459039,1,1,45,1,Artist,1.0,1,2.0,6
459041,1,1,55,1,Artist,8.0,0,1.0,6
459045,0,1,88,1,Lawyer,1.0,1,4.0,6
459056,1,1,63,0,Executive,,2,3.0,6
459057,1,1,69,0,Lawyer,,2,,6
459058,1,0,42,1,Artist,0.0,0,4.0,3
459059,1,1,79,0,Executive,,2,2.0,6
459061,0,1,35,1,Healthcare,9.0,2,3.0,6
459064,1,1,27,0,Executive,5.0,2,4.0,6
459065,1,1,52,1,Engineer,,0,2.0,6
459074,0,0,29,1,Healthcare,0.0,0,4.0,4
459077,0,1,79,0,Lawyer,1.0,2,2.0,6
459079,1,1,87,1,Lawyer,,2,2.0,6
459080,1,1,89,0,Lawyer,1.0,0,2.0,6
459083,1,1,63,1,Artist,9.0,1,3.0,
459090,1,0,31,0,Artist,1.0,0,2.0,6
459091,1,1,72,1,Artist,1.0,1,6.0,1
459093,0,1,41,1,Doctor,9.0,1,2.0,
459100,0,0,61,1,Artist,11.0,0,1.0,6
459106,1,1,62,1,Artist,0.0,0,2.0,6
459114,1,1,56,1,Artist,1.0,1,2.0,6
459116,1,1,60,1,Artist,2.0,1,5.0,6
459117,1,1,68,1,Artist,0.0,2,2.0,6
459118,1,0,19,0,Healthcare,,0,8.0,6
459119,1,1,57,1,Executive,8.0,2,3.0,6
459120,1,0,19,0,Healthcare,5.0,0,5.0,2
459121,0,1,51,1,Artist,3.0,1,6.0,6
459123,0,1,86,0,Artist,1.0,2,2.0,6
459130,0,1,74,0,Lawyer,1.0,2,2.0,6
459132,1,0,23,0,Entertainment,6.0,0,2.0,6
459136,1,1,47,1,Artist,0.0,1,2.0,6
459140,0,0,19,0,Healthcare,7.0,0,6.0,6
459143,1,1,50,0,Artist,0.0,2,4.0,6
459144,1,1,80,1,Lawyer,,2,2.0,6
459145,1,1,78,0,Lawyer,,0,1.0,2
459150,0,0,48,1,Doctor,0.0,0,1.0,6
459160,1,1,70,1,Doctor,1.0,1,2.0,6
459161,1,1,50,1,Executive,3.0,2,5.0,6
459162,0,1,83,1,Lawyer,0.0,2,2.0,6
459163,1,0,35,1,Entertainment,0.0,0,1.0,6
459167,0,0,36,1,Artist,0.0,0,2.0,5
459170,0,0,35,1,Artist,1.0,0,1.0,6
459171,1,1,35,1,Artist,0.0,1,2.0,6
459172,1,0,18,0,Healthcare,3.0,0,3.0,2
459175,0,1,73,1,Artist,1.0,1,2.0,6
459181,1,1,62,0,Artist,1.0,2,3.0,6
459182,0,1,46,1,Artist,1.0,1,2.0,6
459184,1,1,43,1,Entertainment,0.0,0,4.0,4
459185,0,0,32,1,Entertainment,7.0,0,1.0,6
